,patient,question,l_prompt,n_passages
0,patient_01,0,2977,10
1,patient_01,0,7205,25
2,patient_01,0,32928,10000
3,patient_01,1,3345,10
4,patient_01,1,6749,25
5,patient_01,1,33056,10000
6,patient_01,2,3030,10
7,patient_01,2,6140,25
8,patient_01,2,32912,10000
9,patient_01,3,5159,10
10,patient_01,3,8618,25
11,patient_01,3,45995,10000
12,patient_01,4,3315,10
13,patient_01,4,7471,25
14,patient_01,4,32951,10000
15,patient_01,5,3288,10
16,patient_01,5,6684,25
17,patient_01,5,32975,10000
18,patient_01,6,3199,10
19,patient_01,6,6961,25
20,patient_01,6,32925,10000
21,patient_01,7,3301,10
22,patient_01,7,6473,25
23,patient_01,7,46292,10000
24,patient_01,8,5558,10
25,patient_01,8,13912,25
26,patient_01,8,46189,10000
27,patient_01,9,3905,10
28,patient_01,9,7130,25
29,patient_01,9,46474,10000
30,patient_01,10,3732,10
31,patient_01,10,7244,25
32,patient_01,10,33630,10000
33,patient_01,11,3091,10
34,patient_01,11,6587,25
35,patient_01,11,45904,10000
36,patient_01,12,3230,10
37,patient_01,12,6932,25
38,patient_01,12,32933,10000
39,patient_01,13,4171,10
40,patient_01,13,7541,25
41,patient_01,13,33879,10000
42,patient_01,14,3085,10
43,patient_01,14,6288,25
44,patient_01,14,32909,10000
45,patient_01,15,3192,10
46,patient_01,15,6641,25
47,patient_01,15,33106,10000
48,patient_01,16,3229,10
49,patient_01,16,6697,25
50,patient_01,16,33163,10000
51,patient_01,17,3829,10
52,patient_01,17,7393,25
53,patient_01,17,33441,10000
54,patient_01,18,5652,10
55,patient_01,18,8992,25
56,patient_01,18,32948,10000
57,patient_01,19,2804,10
58,patient_01,19,6332,25
59,patient_01,19,32996,10000
60,patient_02,0,2976,10
61,patient_02,0,6183,25
62,patient_02,0,11000,10000
63,patient_02,1,3078,10
64,patient_02,1,8100,25
65,patient_02,1,11012,10000
66,patient_02,2,3015,10
67,patient_02,2,6213,25
68,patient_02,2,26310,10000
69,patient_02,3,3725,10
70,patient_02,3,7054,25
71,patient_02,3,41012,10000
72,patient_02,4,5592,10
73,patient_02,4,9040,25
74,patient_02,4,12248,10000
75,patient_02,5,3051,10
76,patient_02,5,6343,25
77,patient_02,5,8015,10000
78,patient_02,6,4566,10
79,patient_02,6,7945,25
80,patient_02,6,41727,10000
81,patient_02,7,2938,10
82,patient_02,7,6013,25
83,patient_02,7,7950,10000
84,patient_02,8,3054,10
85,patient_02,8,6125,25
86,patient_02,8,7932,10000
87,patient_02,9,3110,10
88,patient_02,9,6472,25
89,patient_02,9,8083,10000
90,patient_02,10,2960,10
91,patient_02,10,6066,25
92,patient_02,10,12256,10000
93,patient_02,11,6419,10
94,patient_02,11,9073,25
95,patient_02,11,12574,10000
96,patient_02,12,3080,10
97,patient_02,12,6409,25
98,patient_02,12,12438,10000
99,patient_02,13,3139,10
100,patient_02,13,6490,25
101,patient_02,13,11171,10000
102,patient_02,14,3388,10
103,patient_02,14,6679,25
104,patient_02,14,19071,10000
105,patient_02,15,3114,10
106,patient_02,15,6585,25
107,patient_02,15,11252,10000
108,patient_02,16,3512,10
109,patient_02,16,6651,25
110,patient_02,16,19210,10000
111,patient_02,17,3697,10
112,patient_02,17,7011,25
113,patient_02,17,19214,10000
114,patient_02,18,2943,10
115,patient_02,18,5990,25
116,patient_02,18,12247,10000
117,patient_02,19,5646,10
118,patient_02,19,8640,25
119,patient_02,19,12185,10000
120,patient_03,0,2922,10
121,patient_03,0,5493,25
122,patient_03,0,5493,10000
123,patient_03,1,3100,10
124,patient_03,1,5603,25
125,patient_03,1,5603,10000
126,patient_03,2,2849,10
127,patient_03,2,5503,25
128,patient_03,2,5503,10000
129,patient_03,3,2929,10
130,patient_03,3,5758,25
131,patient_03,3,5850,10000
132,patient_03,4,4001,10
133,patient_03,4,5575,25
134,patient_03,4,5575,10000
135,patient_03,5,3394,10
136,patient_03,5,6823,25
137,patient_03,5,16183,10000
138,patient_03,6,4853,10
139,patient_03,6,7833,25
140,patient_03,6,7833,10000
141,patient_03,7,4369,10
142,patient_03,7,9411,25
143,patient_03,7,11074,10000
144,patient_03,8,4420,10
145,patient_03,8,7425,25
146,patient_03,8,23453,10000
147,patient_03,9,4269,10
148,patient_03,9,8975,25
149,patient_03,9,14071,10000
150,patient_03,10,2679,10
151,patient_03,10,5862,25
